Diện Tích,Giá,Hướng ban công,Hướng nhà,Mặt tiền,Pháp lý,Số phòng ngủ,Số toilet,Số tầng,Đường vào,Địa chỉ
10 m2,1.85 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ Hồng / Sổ Đỏ,1 phòng,1 phòng,None,None,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

154 m2,70 tỷ,None,None,None,None,None,None,None,15 m,None

62 m2,4.48 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,None,None,None

27.5 m2,5.5 tỷ,Đông - Bắc,Đông - Bắc,3 m,Sổ đỏ/ Sổ hồng,2 phòng,3 phòng,3 tầng,5 m,None

91.8 m2,27.7 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

90 m2,26 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

58 m2,18 tỷ,None,None,None,None,2 phòng,2 phòng,2 tầng,None,None

227.2 m2,415 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

340 m2,197 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

336 m2,185 tỷ,None,None,10 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

453 m2,125 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

85 m2,17 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

36 m2,14.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,2 tầng,None,None

56.35 m2,36 tỷ,None,None,None,Sổ hồng,7 phòng,6 phòng,7 tầng,None,None

130 m2,45 tỷ,None,None,None,None,None,None,3 tầng,None,None

87 m2,3.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,None,None,None

80 m2,18 tỷ,None,None,None,None,None,None,3 tầng,None,None

66 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

101 m2,34 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

90 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

90 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

116 m2,45 tỷ,None,None,None,None,None,None,4 tầng,None,None

90 m2,30 tỷ,None,None,None,None,None,None,5 tầng,None,None

70 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,None

102 m2,33 tỷ,None,None,None,None,None,None,5 tầng,None,None

56 m2,11 tỷ,None,None,5 m,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,2 tầng,5 m,None

139 m2,55 tỷ,None,None,None,None,None,None,6 tầng,None,None

94 m2,19 tỷ,None,None,None,Đầy đủ,None,None,None,None,None

85 m2,20 tỷ,None,None,None,Đầy đủ,None,None,None,None,None

180 m2,5.7 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,None,None,None

400 m2,49 tỷ,None,None,None,None,None,None,4 tầng,None,None

240 m2,93 tỷ,None,None,10 m,None,3 phòng,None,None,25 m,None

145 m2,4.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,None,None,None

106 m2,71 tỷ,None,None,None,None,None,None,None,None,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

60 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,None,None,None

51.2 m2,10.9 tỷ,None,None,None,None,8 phòng,8 phòng,None,None,None

336 m2,165 tỷ,None,None,None,None,None,None,None,None,"Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

32 m2,13.8 tỷ,None,None,4 m,Có sổ hồng riêng hoàn công đầy đủ,3 phòng,3 phòng,3 tầng,4 m,None

176 m2,85 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,7 tầng,None,None

285 m2,90 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

54 m2,17 tỷ,None,None,None,Đã có sổ hồng,None,None,5 tầng,None,None

64 m2,16 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,None,None

111 m2,6 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,None,None,None

145 m2,7.4 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,None,None,None

127 m2,6.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,None,None,None

32 m2,14.9 tỷ,None,None,18 m,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,4 tầng,None,None

78.3 m2,23 tỷ,None,Tây - Nam,None,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,2 tầng,None,None

80 m2,37.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

88 m2,27.5 tỷ,None,Đông - Bắc,4 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,2 tầng,20 m,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

Địa m2,Loại tỷ,None,None,None,Sổ hồng.,3 phòng,None,4 tầng,None,"Hẻm 25, Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh"

405 m2,300 tỷ,None,None,None,Có sổ,None,None,None,None,None

105 m2,6 tỷ,None,None,None,None,2 phòng,None,None,None,None

73 m2,22 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

78 m2,29 tỷ,Đông - Bắc,None,None,None,1 phòng,1 phòng,None,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

121 m2,19 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

83 m2,8.2 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

78 m2,9 tỷ,Đông - Bắc,Tây - Nam,None,None,2 phòng,2 phòng,None,None,None

50.6 m2,4.5 tỷ,Đông - Bắc,None,None,None,1 phòng,1 phòng,None,None,None

77 m2,13.5 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

608.8 m2,1600 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,125 phòng,127 phòng,24 tầng,None,None

164.29 m2,155 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,7 tầng,None,None

88 m2,17.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

160 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

38 m2,6.3 tỷ,None,None,3.2 m,None,None,None,None,None,None

321 m2,310 tỷ,None,None,3.2 m,None,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

321 m2,310 tỷ,None,Đông - Bắc,30 m,Sổ đỏ/ Sổ hồng,None,None,None,30 m,None

110 m2,20 tỷ,None,None,None,None,2 phòng,None,None,None,None

20 m2,37 tỷ,None,None,5 m,None,None,None,None,40 m,None

40.5 m2,17.5 tỷ,None,None,None,None,None,None,4 tầng,None,None

80 m2,29 tỷ,None,None,None,None,None,None,3 tầng,None,None

100 m2,32 tỷ,None,None,None,None,None,None,4 tầng,None,None

72 m2,14.5 tỷ,None,None,None,None,4 phòng,5 phòng,4 tầng,None,"Phố Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, Hồ Chí Minh"

876 m2,345 tỷ,None,None,16 m,None,2 phòng,None,2 tầng,30 m,None

104 m2,45 tỷ,None,None,None,None,None,None,4 tầng,None,"Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"

94 m2,31 tỷ,None,None,None,None,None,None,4 tầng,None,None

876 m2,345 tỷ,Tây - Bắc,Đông - Nam,None,None,None,None,None,None,"Dự án The Grand Manhattan, Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh"

68.4 m2,16.699 tỷ,Tây - Bắc,Đông - Bắc,None,None,2 phòng,2 phòng,None,None,None

32.8 m2,11.2 tỷ,None,None,4.1 m,Có sổ.,None,None,2 tầng,None,None

48.4 m2,8.543 tỷ,None,None,None,None,1 phòng,None,None,None,"Dự án The MarQ , Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"

62.8 m2,12 tỷ,None,None,4 m,None,4 phòng,4 phòng,2 tầng,6 m,None

80 m2,37.2 tỷ,Đông - Bắc,Đông - Bắc,3.9 m,None,None,None,5 tầng,25 m,None

76 m2,28 tỷ,None,Tây - Bắc,5.2 m,None,None,None,3 tầng,20 m,None

104 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

75.6 m2,50 tỷ,None,None,None,Có sổ,None,None,None,None,None

32 m2,11.5 tỷ,None,None,None,Có sổ.,None,None,2 tầng,None,None

160 m2,25 tỷ,None,None,None,Có sổ,None,None,None,None,None

130 m2,45 tỷ,None,None,7.5 m,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

154.8 m2,40 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

252.4 m2,65 tỷ,None,None,12 m,Sổ hồng chính chủ.,None,None,None,None,None

170.1 m2,145 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,15 phòng,8 phòng,8 tầng,None,None

64 m2,18.35 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,4 tầng,10 m,None

64 m2,22.999 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

100 m2,72 tỷ,None,None,20 m,Sổ hồng chính chủ,10 phòng,10 phòng,5 tầng,None,None

90 m2,34.3 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

320 m2,67 tỷ,None,None,None,None,None,None,1 tầng,None,None

85 m2,3.5 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

69 m2,40 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,3 tầng,None,None

94 m2,32 tỷ,None,None,None,None,10 phòng,11 phòng,3 tầng,None,None

140 m2,32 tỷ,None,None,None,Đã có sổ,3 phòng,4 phòng,3 tầng,5 m,None

60 m2,32 tỷ,None,None,None,None,10 phòng,5 phòng,4 tầng,None,None

67 m2,20 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,4 tầng,20 m,None

36 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,3 tầng,None,None

36 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,3 tầng,None,None

59 m2,6.5 tỷ,None,Nam,None,None,2 phòng,2 phòng,None,None,"Vinhomes Golden River Ba Son, Số 2, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

160 m2,23.9 tỷ,None,None,None,None,4 phòng,3 phòng,None,None,None

35 m2,11 tỷ,None,None,4 m,None,None,None,2 tầng,20 m,"252, Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

190 m2,139 tỷ,None,None,9.5 m,Có sổ.,9 phòng,9 phòng,8 tầng,20 m,None

64 m2,18 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,3 tầng,20 m,None

157 m2,24 tỷ,None,None,None,None,4 phòng,2 phòng,None,None,None

81.7 m2,36 tỷ,None,None,None,None,None,None,4 tầng,None,None

80 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,15 phòng,15 phòng,6 tầng,None,None

83 m2,14.8 tỷ,None,None,None,Sổ hồng riêng.,None,None,None,None,None

80 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,15 phòng,15 phòng,6 tầng,None,None

315 m2,165 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,10 tầng,None,None

225 m2,118 tỷ,None,None,None,None,5 phòng,6 phòng,4 tầng,None,None

80 m2,35.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Võ Thị Sáu, Thạch T Thanh, Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

54 m2,21.5 tỷ,None,Tây - Bắc,None,None,None,None,None,None,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

120 m2,73 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,11 phòng,12 phòng,None,None,None

144 m2,245 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

100 m2,35 tỷ,None,None,10 m,Sổ đỏ/ Sổ hồng,10 phòng,6 phòng,5 tầng,10 m,None

52 m2,8.5 tỷ,None,None,None,Hợp đồng mua bán,2 phòng,1 phòng,None,None,None

220 m2,160 tỷ,None,None,None,None,None,None,1 tầng,None,None

31 m2,3.29 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,2 tầng,4 m,None

370 m2,60 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,None,None,None,None

86.4 m2,43 tỷ,Tây - Nam,Tây - Nam,10 m,Đã có sổ hồng,5 phòng,6 phòng,3 tầng,30 m,None

140.7 m2,72.8 tỷ,None,None,None,None,48 phòng,None,7 tầng,None,"Đường Yersin, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh"

137 m2,59 tỷ,None,Nam,None,None,None,None,6 tầng,None,None

100 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

56 m2,13 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,None

75 m2,25 tỷ,None,None,None,None,None,None,None,None,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

60 m2,10.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

82 m2,15 tỷ,None,None,6.2 m,Sổ đỏ/ Sổ hồng,10 phòng,None,5 tầng,None,None

125 m2,100 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

407 m2,860 tỷ,Đông,Đông,20 m,None,91 phòng,91 phòng,12 tầng,20 m,None

200 m2,500 tỷ,None,None,10 m,Sổ đỏ/ Sổ hồng,8 phòng,8 phòng,7 tầng,20 m,None

86 m2,100 tỷ,None,Đông,None,Sổ đỏ/ Sổ hồng,30 phòng,30 phòng,9 tầng,None,None

112 m2,100 tỷ,None,None,4.5 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

Địa m2,170 tỷ,None,Tây - Bắc,None,Hợp đồng mua bán,2 phòng,2 phòng,None,None,"Lancaster Nguyễn Trãi, 230, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

Địa m2,180 tỷ,None,Tây - Bắc,None,None,1 phòng,1 phòng,None,None,"Dự án Lancaster Nguyễn Trãi, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

121 m2,72.5 tỷ,Tây - Nam,Tây - Nam,8 m,Sổ hồng,8 phòng,8 phòng,8 tầng,20 m,None

80 m2,24.5 tỷ,None,None,4 m,Sổ hồng cá nhân,3 phòng,3 phòng,3 tầng,12 m,None

90.2 m2,34.5 tỷ,None,None,4.1 m,Sổ hồng,3 phòng,3 phòng,2 tầng,20 m,None

64.35 m2,15 tỷ,None,None,3.8 m,Sổ hồng,3 phòng,3 phòng,2 tầng,6 m,None

180 m2,119 tỷ,None,None,9 m,Sổ hồng,8 phòng,8 phòng,8 tầng,30 m,None

240 m2,120 tỷ,None,None,12.6 m,Sổ hồng,3 phòng,3 phòng,4 tầng,12 m,None

92 m2,20.5 tỷ,None,None,4 m,Sổ hồng,5 phòng,5 phòng,3 tầng,8 m,None

339.59 m2,165 tỷ,None,None,15 m,Sổ hồng,7 phòng,8 phòng,7 tầng,20 m,None

75.6 m2,36.5 tỷ,None,None,4.8 m,Sổ hồng,6 phòng,6 phòng,5 tầng,15 m,None

76.2 m2,34 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,5 tầng,None,None

190 m2,75 tỷ,None,None,6.8 m,Sổ hồng,3 phòng,3 phòng,3 tầng,20 m,None

56.3 m2,16 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

74 m2,20 tỷ,None,None,None,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,None,None,None

155.6 m2,30 tỷ,None,None,10 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,None,None,None

299 m2,55 tỷ,None,None,11.5 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,4 tầng,None,None

74.2 m2,16.5 tỷ,None,None,5.3 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,6 tầng,None,None

74.2 m2,16.5 tỷ,None,None,5.3 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,6 tầng,None,None

100 m2,26 tỷ,None,None,10 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,4 tầng,None,None

121 m2,35 tỷ,None,None,5.5 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,8 tầng,None,None

80 m2,25 tỷ,None,None,5 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,None,None,None

64 m2,22 tỷ,None,None,4 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,6 tầng,None,None

75 m2,15.5 tỷ,None,None,None,None,None,None,3 tầng,None,None

115.5 m2,16.5 tỷ,None,None,None,None,None,None,None,None,"Đường Tôn Thất Tùng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

150 m2,21 tỷ,None,None,None,None,None,None,None,12 m,None

94.8 m2,18.9 tỷ,None,None,None,None,None,None,5 tầng,None,"Đường Tôn Thất Tùng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

90 m2,34.5 tỷ,None,None,4.2 m,None,None,None,None,None,None

90 m2,38.9 tỷ,None,None,4.5 m,None,None,None,5 tầng,None,None

108 m2,27.899 tỷ,None,None,None,None,None,None,4 tầng,None,None

44 m2,11 tỷ,None,None,4 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,3 tầng,None,None

55.6 m2,32 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh"

92 m2,16.8 tỷ,Đông - Bắc,Đông - Bắc,4 m,Sổ đỏ/ Sổ hồng,8 phòng,8 phòng,5 tầng,None,None

63 m2,16 tỷ,Đông - Nam,Đông - Nam,4.5 m,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,4 tầng,None,None

30 m2,7.2 tỷ,None,None,None,None,6 phòng,7 phòng,5 tầng,None,None

60 m2,12 tỷ,Đông - Bắc,Đông - Bắc,4 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,None,"Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Hồ Chí Minh"

63.6 m2,13.9 tỷ,Tây,Tây,4.46 m,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,4 tầng,None,None

100 m2,40 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

57 m2,16.9 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ đỏ/ Sổ hồng,8 phòng,8 phòng,5 tầng,None,None

90 m2,31.5 tỷ,None,None,4.5 m,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

57 m2,15.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

80 m2,16 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

58 m2,15 tỷ,None,None,None,None,None,None,None,None,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh"

66 m2,13.8 tỷ,None,None,None,None,None,None,None,None,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh"

72 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

105.6 m2,43.3 tỷ,None,None,4.4 m,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

160 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

76.5 m2,22.5 tỷ,None,None,4.5 m,None,None,None,5 tầng,None,None

81.7 m2,36.3 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,None

72 m2,17.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

76 m2,14.4 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

99 m2,34.8 tỷ,None,None,None,None,None,None,4 tầng,None,None

98.9 m2,70.8 tỷ,None,None,None,None,None,None,3 tầng,None,None

253 m2,350 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

88 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

55 m2,14.1 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,None,None,None,None

88.2 m2,100 tỷ,None,None,4.2 m,None,None,None,None,None,None

600 m2,780 tỷ,None,None,20 m,Sổ hồng,None,None,None,None,None

41 m2,36 tỷ,None,None,None,Sổ hồng.,None,None,5 tầng,None,None

56 m2,16 tỷ,None,None,4 m,Sổ hồng riêng chính chủ,None,None,3 tầng,None,None

60 m2,11 tỷ,None,None,4 m,None,None,None,None,None,None

76.5 m2,23 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

99 m2,29.8 tỷ,None,None,5.5 m,None,None,None,None,None,None

68 m2,15.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,4 tầng,None,None

115 m2,35 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

56 m2,12 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

40 m2,9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,4 tầng,None,None

107 m2,35 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

79 m2,33.8 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh"

106 m2,34.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,15 phòng,15 phòng,6 tầng,None,None

90 m2,11 tỷ,None,None,4 m,None,None,None,1 tầng,None,None

51 m2,12.8 tỷ,None,None,8 m,Sổ hồng chính chủ,None,None,6 tầng,None,None

35 m2,11.2 tỷ,None,None,3.5 m,None,None,None,5 tầng,None,None

130 m2,220 tỷ,None,None,None,None,None,None,4 tầng,None,None

103 m2,5.7 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

80 m2,20 tỷ,None,Tây - Nam,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

30 m2,7 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

24 m2,4.1 tỷ,Tây - Bắc,Tây - Bắc,2.65 m,None,2 phòng,1 phòng,2 tầng,1.5 m,None

52 m2,12.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

172 m2,85 tỷ,None,None,21 m,Sổ đỏ/ Sổ hồng,7 phòng,7 phòng,7 tầng,None,None

198 m2,55 tỷ,None,None,None,None,8 phòng,8 phòng,8 tầng,None,None

118 m2,69 tỷ,None,None,None,None,None,None,3 tầng,None,None

66 m2,14.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,5 tầng,6 m,None

105.8 m2,35 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,15 phòng,16 phòng,7 tầng,10 m,None

392 m2,250 tỷ,None,None,20 m,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,2 tầng,None,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh"

28.1 m2,9.2 tỷ,None,Đông - Nam,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,5 tầng,None,None

69 m2,9 tỷ,Tây - Bắc,Tây - Nam,None,None,2 phòng,2 phòng,None,None,None

68 m2,3.45 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,None,None,None

111 m2,97 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Phố Đặng Dung, Phường Tân Định, Quận 1, Hồ Chí Minh"

92 m2,37 tỷ,None,None,10 m,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,5 tầng,10 m,None

390.5 m2,250 tỷ,None,None,14.5 m,None,None,None,6 tầng,30 m,None

Địa m2,190 tỷ,None,Đông - Bắc,7 m,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,2 tầng,12 m,"212B, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

Địa m2,190 tỷ,None,Đông - Bắc,7 m,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,2 tầng,20 m,"212B, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

49 m2,7.8 tỷ,None,Đông - Bắc,None,Hợp đồng mua bán,1 phòng,1 phòng,None,None,None

117 m2,25 tỷ,Đông - Nam,None,None,None,3 phòng,2 phòng,None,None,None

60 m2,18 tỷ,None,None,None,Hợp đồng mua bán,1 phòng,1 phòng,None,None,None

114.4 m2,35 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,"Dự án Central Garden, Đường Bến Chương Dương, Phường Cô Giang, Quận 1, Hồ Chí Minh"

164 m2,95 tỷ,None,None,9 m,None,None,None,None,None,None

234 m2,110 tỷ,None,None,14 m,None,None,None,6 tầng,None,"Đường Trần Nhật Duật, Phường Tân Định, Quận 1, Hồ Chí Minh"

121 m2,25 tỷ,None,None,None,Hợp đồng mua bán,3 phòng,2 phòng,None,None,None

50 m2,6.1 tỷ,None,None,None,None,1 phòng,None,None,None,None

78 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,10 phòng,11 phòng,6 tầng,5 m,None

120 m2,185 tỷ,None,None,8 m,None,None,None,None,None,None

30 m2,4.6 tỷ,None,None,None,None,15 phòng,None,5 tầng,None,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

20 m2,3.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,4 tầng,None,None

75 m2,37.5 tỷ,None,None,4.2 m,None,2 phòng,4 phòng,2 tầng,20 m,None

170.15 m2,145 tỷ,None,None,None,None,4 phòng,5 phòng,4 tầng,None,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

72 m2,16.3 tỷ,None,None,None,None,None,None,4 tầng,None,None

365 m2,325 tỷ,None,None,13 m,None,None,None,None,None,None

77 m2,55 tỷ,None,Tây - Bắc,4 m,Sổ Hồng,None,None,None,None,None

72.8 m2,46 tỷ,None,None,5.6 m,None,None,None,None,30 m,None

120 m2,12 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

